symbol,timeframe,fast,slow,stop_loss_pct,trades,net_return,max_drawdown,avg_monthly_return,worst_month
BTCUSDT,5m,3,23,0.008,904,-0.6248142150536173,-0.6554537306574443,-0.1880050416188621,-0.1880050416188621
BTCUSDT,5m,4,12,0.02,1232,-0.45991080664788453,-0.4769648226225567,-0.16984473726049598,-0.16984473726049598
BTCUSDT,5m,3,11,0.008,1418,-0.8204074109663525,-0.8283187210785878,-0.416260408681973,-0.416260408681973
BTCUSDT,5m,12,15,0.02,1177,-0.47437221952418984,-0.4921094426940854,-0.18192882384795317,-0.18192882384795317
BTCUSDT,5m,11,27,0.008,528,-0.5147717174889008,-0.5616218374680819,-0.13095799782654316,-0.13095799782654316
BTCUSDT,5m,7,35,0.005,478,-0.5176892348241682,-0.5474997588397046,0.012409122434353659,0.012409122434353659
BTCUSDT,15m,5,35,0.01,170,0.3208710445140184,-0.18303855576974237,0.08087587356466375,0.08087587356466375
BTCUSDT,5m,6,30,0.005,542,-0.7105121106142684,-0.7304227715060174,-0.05615852905255592,-0.05615852905255592
BTCUSDT,1m,8,35,0.01,2447,-0.9440416967208793,-0.9447468829755803,-0.5851664078797137,-0.5851664078797137
BTCUSDT,5m,3,35,0.02,704,-0.2041561869039642,-0.23855636211812414,-0.015487892018964278,-0.015487892018964278
BTCUSDT,1m,17,27,0.02,2743,-0.7790100286023122,-0.7800555015858057,-0.3298960444419936,-0.3298960444419936
BTCUSDT,5m,12,26,0.02,550,-0.266624078683401,-0.2933719476222544,-0.06313624246257632,-0.06313624246257632
BTCUSDT,5m,4,9,0.008,1528,-0.8300995023930539,-0.8375656245487815,-0.3965322577790722,-0.3965322577790722
BTCUSDT,15m,4,21,0.005,261,-0.08544738251626205,-0.3370740692830566,-0.03359470943547016,-0.03359470943547016
BTCUSDT,5m,10,33,0.01,460,-0.4021492708293858,-0.4497639606363061,-0.05271766285636048,-0.05271766285636048
BTCUSDT,1m,16,34,0.01,2089,-0.8998128765970734,-0.9006722595906513,-0.4367353743762382,-0.4367353743762382
BTCUSDT,15m,4,17,0.02,302,-0.016655231167153728,-0.0877923119117251,-0.03195198831315271,-0.03195198831315271
BTCUSDT,15m,5,37,0.015,170,0.2528359000421194,-0.10044899504608074,0.07541393548860076,0.07541393548860076
BTCUSDT,5m,11,21,0.01,650,-0.4458815183297734,-0.48696587756081566,-0.06037579639907886,-0.06037579639907886
BTCUSDT,15m,3,20,0.005,306,-0.2028748336494779,-0.3559054364919434,-0.06245721069211374,-0.06245721069211374
ETHUSDT,15m,9,20,0.005,222,-0.3919612117929844,-0.4610592638663482,-0.21986275781802078,-0.21986275781802078
ETHUSDT,5m,12,37,0.01,420,-0.38615649844850963,-0.44705602320348004,-0.09203634728409416,-0.09203634728409416
ETHUSDT,5m,10,25,0.015,597,-0.4275088271041513,-0.4646002598039606,-0.10109822296655224,-0.10109822296655224
ETHUSDT,1m,9,29,0.02,2636,-0.8034795044671366,-0.8034795044671366,-0.35590280635705396,-0.35590280635705396
ETHUSDT,5m,12,28,0.02,537,-0.27843595603733173,-0.31027576314808325,-0.04786389143220682,-0.04786389143220682
ETHUSDT,5m,6,17,0.02,881,-0.37126723068674705,-0.3945514818351238,-0.0894209698177999,-0.0894209698177999
ETHUSDT,5m,3,13,0.008,1311,-0.8605046475921282,-0.8605046475921282,-0.3714034783938751,-0.3714034783938751
ETHUSDT,5m,9,31,0.005,532,-0.875280783779465,-0.8994436718534312,-0.3663191250715985,-0.3663191250715985
ETHUSDT,5m,12,29,0.02,519,-0.28061569326060776,-0.31384395855296177,-0.04942555126441883,-0.04942555126441883
ETHUSDT,5m,11,14,0.005,1253,-0.9668339785073822,-0.9695007169331653,-0.5321441662443683,-0.5321441662443683
ETHUSDT,15m,11,38,0.01,129,-0.12491820219994532,-0.20123153235293834,-0.025526256321908303,-0.025526256321908303
ETHUSDT,15m,8,14,0.01,350,-0.28170076169039826,-0.3791913687389158,-0.03369229747002522,-0.03369229747002522
ETHUSDT,5m,10,13,0.01,1299,-0.7499910045100822,-0.7522131168580386,-0.3257943503823765,-0.3257943503823765
ETHUSDT,15m,5,40,0.005,181,-0.279484573494013,-0.41388906862460617,0.0017748441547220661,0.0017748441547220661
ETHUSDT,15m,7,36,0.02,169,-0.035339125865525456,-0.10277644671235697,-0.027997916018047353,-0.027997916018047353
